GEOID,Tract,County,Total,White,Black,AmericanIndian,Asian,PacIslander,Other,Multiracial,Hispanic
08014030000,Census Tract 300,Broomfield County,3402,2371,50,13,188,9,34,186,551
08014030100,Census Tract 301,Broomfield County,2261,1667,12,13,62,2,19,120,366
08014030200,Census Tract 302,Broomfield County,2134,1457,31,2,116,3,15,105,405
08014030300,Census Tract 303,Broomfield County,3759,2752,65,17,174,8,16,148,579
08014030400,Census Tract 304,Broomfield County,3807,3109,19,4,145,1,17,159,353
08014030500,Census Tract 305,Broomfield County,5794,4262,52,9,626,8,28,283,526
08014030600,Census Tract 306,Broomfield County,6745,4008,56,36,203,14,42,290,2096
08014030700,Census Tract 307,Broomfield County,3120,2252,37,5,169,0,4,195,458
08014030800,Census Tract 308,Broomfield County,5777,3978,52,16,410,5,31,302,983
08014030900,Census Tract 309,Broomfield County,5964,4789,53,13,334,0,14,317,444
08014031000,Census Tract 310,Broomfield County,5886,4188,80,8,687,6,22,291,604
08014031101,Census Tract 311.01,Broomfield County,3219,2249,116,13,208,4,18,197,414
08014031102,Census Tract 311.02,Broomfield County,2008,1420,44,0,237,0,10,96,201
08014031103,Census Tract 311.03,Broomfield County,1983,1643,15,5,71,0,7,67,175
08014031104,Census Tract 311.04,Broomfield County,1505,1037,40,8,120,5,12,81,202
08014031201,Census Tract 312.01,Broomfield County,2576,1873,65,11,172,5,9,127,314
08014031202,Census Tract 312.02,Broomfield County,2762,2000,48,13,127,4,27,150,393
08014031300,Census Tract 313,Broomfield County,2578,2116,15,8,149,2,6,123,159
08014031401,Census Tract 314.01,Broomfield County,2199,2106,4,0,30,0,0,31,28
08014031402,Census Tract 314.02,Broomfield County,2016,1237,43,2,353,1,3,119,258
08014031403,Census Tract 314.03,Broomfield County,4617,3390,30,1,515,3,17,251,410
08014980100,Census Tract 9801,Broomfield County,0,0,0,0,0,0,0,0,0
08014980200,Census Tract 9802,Broomfield County,0,0,0,0,0,0,0,0,0
08014980300,Census Tract 9803,Broomfield County,0,0,0,0,0,0,0,0,0
08059010801,Census Tract 108.01,Jefferson County,2512,2073,18,15,30,6,18,93,259
08059010604,Census Tract 106.04,Jefferson County,2497,1586,32,26,65,2,10,103,673
08059010701,Census Tract 107.01,Jefferson County,4159,3037,50,15,71,3,13,176,794
08059010702,Census Tract 107.02,Jefferson County,5187,2735,121,33,85,16,23,201,1973
08059010901,Census Tract 109.01,Jefferson County,5207,3910,123,44,95,23,29,271,712
08059010902,Census Tract 109.02,Jefferson County,3165,1925,106,48,112,0,13,181,780
08059011000,Census Tract 110,Jefferson County,5707,3915,112,67,105,25,44,238,1201
08059011101,Census Tract 111.01,Jefferson County,3380,2202,88,24,91,17,29,166,763
08059011102,Census Tract 111.02,Jefferson County,3242,1565,152,42,50,26,22,135,1250
08059011202,Census Tract 112.02,Jefferson County,5424,4070,60,30,79,2,40,203,940
08059011300,Census Tract 113,Jefferson County,3011,2135,20,20,53,0,15,129,639
08059011401,Census Tract 114.01,Jefferson County,2753,1297,108,31,60,8,16,100,1133
08059011402,Census Tract 114.02,Jefferson County,3906,2109,118,48,73,13,19,177,1349
08059011551,Census Tract 115.51,Jefferson County,4054,2335,180,36,68,11,15,164,1245
08059011552,Census Tract 115.52,Jefferson County,2962,1436,105,52,53,0,21,149,1146
08059011601,Census Tract 116.01,Jefferson County,3728,1623,67,39,77,0,25,100,1797
08059011602,Census Tract 116.02,Jefferson County,4245,1972,84,28,128,3,32,127,1871
08059011701,Census Tract 117.01,Jefferson County,4653,3299,45,25,167,0,24,147,946
08059011702,Census Tract 117.02,Jefferson County,5730,3759,43,29,345,2,16,199,1337
08059011708,Census Tract 117.08,Jefferson County,4199,3151,28,21,81,5,19,228,666
08059011709,Census Tract 117.09,Jefferson County,3449,2436,24,16,110,8,10,160,685
08059011710,Census Tract 117.10,Jefferson County,4113,2928,55,25,141,5,21,189,749
08059011711,Census Tract 117.11,Jefferson County,4281,3136,71,20,141,6,12,212,683
08059011712,Census Tract 117.12,Jefferson County,4188,3417,23,9,80,2,22,208,427
08059011720,Census Tract 117.20,Jefferson County,5147,4187,46,6,205,3,26,241,433
08059011721,Census Tract 117.21,Jefferson County,2719,2242,24,3,119,1,8,125,197
08059011723,Census Tract 117.23,Jefferson County,3310,2395,60,25,136,0,16,127,551
08059011724,Census Tract 117.24,Jefferson County,7559,6181,34,16,354,0,13,347,614
08059011725,Census Tract 117.25,Jefferson County,1740,1473,8,11,38,1,10,58,141
08059011726,Census Tract 117.26,Jefferson County,5767,4576,23,16,379,0,21,203,549
08059011727,Census Tract 117.27,Jefferson County,3735,2826,31,10,121,2,26,138,581
08059011728,Census Tract 117.28,Jefferson County,2713,2025,28,13,128,5,14,105,395
08059011729,Census Tract 117.29,Jefferson County,3815,2575,68,42,89,7,18,173,843
08059011730,Census Tract 117.30,Jefferson County,3706,2458,50,22,106,6,21,150,893
08059011731,Census Tract 117.31,Jefferson County,4364,3238,71,18,220,0,10,209,598
08059011732,Census Tract 117.32,Jefferson County,4466,3091,111,43,134,4,28,235,820
08059011733,Census Tract 117.33,Jefferson County,2339,1642,61,11,102,0,7,115,401
08059011803,Census Tract 118.03,Jefferson County,5275,2386,60,53,397,10,12,173,2184
08059011804,Census Tract 118.04,Jefferson County,4111,2194,38,33,279,3,30,168,1366
08059011806,Census Tract 118.06,Jefferson County,5320,2467,118,49,201,0,30,204,2251
08059011807,Census Tract 118.07,Jefferson County,2558,1654,49,12,160,3,15,117,548
08059011808,Census Tract 118.08,Jefferson County,2682,1481,73,46,80,2,18,107,875
08059011904,Census Tract 119.04,Jefferson County,3126,2027,77,13,120,6,12,138,733
08059011951,Census Tract 119.51,Jefferson County,4472,2661,81,23,423,3,15,144,1122
08059012022,Census Tract 120.22,Jefferson County,5540,4547,42,22,133,2,22,249,523
08059012027,Census Tract 120.27,Jefferson County,3114,2783,6,7,28,0,22,116,152
08059012023,Census Tract 120.23,Jefferson County,3453,2664,18,12,165,3,22,205,364
08059012024,Census Tract 120.24,Jefferson County,5750,4752,28,13,140,4,15,270,528
08059012026,Census Tract 120.26,Jefferson County,3495,3132,4,10,32,0,11,150,156
08059012030,Census Tract 120.30,Jefferson County,3842,3407,11,19,28,0,16,194,167
08059012031,Census Tract 120.31,Jefferson County,3779,3339,19,10,14,2,17,193,185
08059012032,Census Tract 120.32,Jefferson County,2647,2372,2,4,30,0,10,107,122
08059012033,Census Tract 120.33,Jefferson County,2821,2510,23,7,20,0,17,106,138
08059012034,Census Tract 120.34,Jefferson County,3999,3561,10,13,69,0,12,173,161
08059012035,Census Tract 120.35,Jefferson County,5161,4514,17,8,83,6,26,266,241
08059012036,Census Tract 120.36,Jefferson County,3729,3223,7,14,80,1,13,170,221
08059012037,Census Tract 120.37,Jefferson County,3466,3071,2,12,25,2,19,140,195
08059012038,Census Tract 120.38,Jefferson County,3605,2752,27,10,70,5,22,167,552
08059012039,Census Tract 120.39,Jefferson County,5272,4062,51,21,106,1,49,257,725
08059012041,Census Tract 120.41,Jefferson County,5682,4121,42,20,444,6,13,245,791
08059012042,Census Tract 120.42,Jefferson County,3935,3002,31,15,155,3,38,215,476
08059012043,Census Tract 120.43,Jefferson County,5878,4635,43,20,170,4,22,257,727
08059012044,Census Tract 120.44,Jefferson County,4057,3077,35,14,165,2,22,222,520
08059012045,Census Tract 120.45,Jefferson County,6017,4693,58,24,272,3,40,221,706
08059012046,Census Tract 120.46,Jefferson County,2327,1738,22,4,59,1,13,113,377
08059012047,Census Tract 120.47,Jefferson County,4180,3063,56,18,101,0,11,218,713
08059012048,Census Tract 120.48,Jefferson County,2479,1975,4,2,49,0,11,128,310
08059012049,Census Tract 120.49,Jefferson County,3840,3070,22,13,183,0,31,143,378
08059012050,Census Tract 120.50,Jefferson County,4127,3040,45,8,407,1,30,154,442
08059012051,Census Tract 120.51,Jefferson County,3616,3103,29,6,62,4,20,117,275
08059012052,Census Tract 120.52,Jefferson County,5558,4316,68,25,102,1,42,276,728
08059012053,Census Tract 120.53,Jefferson County,3877,3087,39,13,71,0,11,205,451
08059012054,Census Tract 120.54,Jefferson County,4139,3364,17,14,143,0,9,175,417
08059012055,Census Tract 120.55,Jefferson County,3877,3130,24,21,101,2,11,148,440
08059012057,Census Tract 120.57,Jefferson County,5783,4616,37,21,173,3,21,257,655
08059012058,Census Tract 120.58,Jefferson County,3955,3480,11,17,41,9,24,187,186
08059012059,Census Tract 120.59,Jefferson County,3428,2730,21,3,62,6,25,164,417
08059012060,Census Tract 120.60,Jefferson County,3350,2559,39,11,43,4,30,231,433
08059015800,Census Tract 158,Jefferson County,4384,3192,65,21,200,6,25,200,675
08059015900,Census Tract 159,Jefferson County,3477,2120,116,11,181,7,28,133,881
08059060300,Census Tract 603,Jefferson County,4512,3162,26,13,479,0,18,221,593
08059060400,Census Tract 604,Jefferson County,5420,3816,69,19,313,1,8,303,891
08059060501,Census Tract 605.01,Jefferson County,10399,8234,71,39,470,4,28,483,1070
08059980000,Census Tract 9800,Jefferson County,0,0,0,0,0,0,0,0,0
